biomarker,clinical_factor,test,statistic,pvalue,n_groups,groups,medians,n_samples
Ki67,larynxpharynx,Mann-Whitney U,3895.0,1.1050429173249502e-17,2,"['Larynx', 'Pharynx']","[np.float64(0.4462068178043473), np.float64(0.727894813363509)]",308
CD3e,larynxpharynx,Mann-Whitney U,3948.0,2.087838673116761e-17,2,"['Larynx', 'Pharynx']","[np.float64(0.29248236155558804), np.float64(0.4722732271789837)]",308
CD3e,hpvstatus,Kruskal-Wallis,57.889894296451644,2.6876281087688066e-13,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.3176508795175637), np.float64(0.36497428063676635), np.float64(0.5136122552643878)]",308
CD8,larynxpharynx,Mann-Whitney U,4930.0,1.0456065262626414e-12,2,"['Larynx', 'Pharynx']","[np.float64(0.44758976425420555), np.float64(0.7347092604048258)]",308
HLA-DR,larynxpharynx,Mann-Whitney U,5024.0,2.676177294219701e-12,2,"['Larynx', 'Pharynx']","[np.float64(0.4244744337918451), np.float64(0.6053884841277427)]",308
CD45RA,larynxpharynx,Mann-Whitney U,5056.0,3.6711220766037136e-12,2,"['Larynx', 'Pharynx']","[np.float64(0.29225469793557657), np.float64(0.4039767017635987)]",308
CD8,hpvstatus,Kruskal-Wallis,50.906265946817484,8.82764383380325e-12,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.45848190842598013), np.float64(0.5478103830182101), np.float64(0.8062842471942544)]",308
CD45RA,hpvstatus,Kruskal-Wallis,45.98073792265791,1.036118965296032e-10,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.29478942713778566), np.float64(0.3464924888170701), np.float64(0.44399584602538655)]",308
Ki67,hpvstatus,Kruskal-Wallis,45.33008426612287,1.4344891558517947e-10,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.5065828088144311), np.float64(0.5293733527356784), np.float64(0.773057968880045)]",308
CD4,larynxpharynx,Mann-Whitney U,5635.0,8.005962678084919e-10,2,"['Larynx', 'Pharynx']","[np.float64(0.36081180418393743), np.float64(0.44235084307745526)]",308
ICOS,larynxpharynx,Mann-Whitney U,5734.0,1.886911800201114e-09,2,"['Larynx', 'Pharynx']","[np.float64(0.24422137080469997), np.float64(0.2675090360933191)]",308
CD45RO,survival_status,Mann-Whitney U,6133.0,1.9765846979508694e-09,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.5156046206130298), np.float64(0.6891893359654824)]",308
CD45RO,larynxpharynx,Mann-Whitney U,5784.0,2.8890313322311905e-09,2,"['Larynx', 'Pharynx']","[np.float64(0.492700619955046), np.float64(0.6847252095917973)]",308
PD1,larynxpharynx,Mann-Whitney U,5873.0,6.095294275080604e-09,2,"['Larynx', 'Pharynx']","[np.float64(0.23157346310839474), np.float64(0.2418330523627472)]",308
CD45RO,hpvstatus,Kruskal-Wallis,36.15936208408766,1.4063528216403339e-08,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.5297675175985771), np.float64(0.6068429593422997), np.float64(0.7111491617220267)]",308
CD45,larynxpharynx,Mann-Whitney U,6102.0,3.8863531197892164e-08,2,"['Larynx', 'Pharynx']","[np.float64(0.5793834432007363), np.float64(0.7360706776557493)]",308
GranzymeB,larynxpharynx,Mann-Whitney U,6194.0,7.956558772594809e-08,2,"['Larynx', 'Pharynx']","[np.float64(0.24317771828315776), np.float64(0.2672980153291794)]",308
