biomarker,clinical_factor,test,statistic,pvalue,n_groups,groups,medians,n_samples
Vimentin,alcoholhx,Kruskal-Wallis,11.26746592361144,0.023716950510728346,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(1.016969966292646), np.float64(1.0883900504821653), np.float64(1.0963018711219763), np.float64(0.8691443170543429), np.float64(0.869101970944164)]",308
CD38,larynxpharynx,Mann-Whitney U,8437.0,0.02434809715962387,2,"['Larynx', 'Pharynx']","[np.float64(0.24478786835785035), np.float64(0.2485466631739156)]",308
CD134,survival_status,Mann-Whitney U,8939.0,0.02821444673400592,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.23723210107206671), np.float64(0.24184546075179658)]",308
PDL1,survival_status,Mann-Whitney U,8944.0,0.02870525495414136,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.2351899458691835), np.float64(0.23818566346999132)]",308
CD8,smokinghx,Kruskal-Wallis,7.0862674290874565,0.028922549906322998,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.5519359236295807), np.float64(0.6806962649911934), np.float64(0.721954299183565)]",308
CD56,larynxpharynx,Mann-Whitney U,8488.0,0.029203395816484935,2,"['Larynx', 'Pharynx']","[np.float64(0.2789616129460052), np.float64(0.2846065142130111)]",308
CD49f,smokinghx,Kruskal-Wallis,6.990814800424005,0.03033638686829887,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.3342767689221742), np.float64(0.33415745427265425), np.float64(0.3699854909867092)]",308
CD15,hpvstatus,Kruskal-Wallis,6.91026024001485,0.03158319448320759,3,"[np.float64(5.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.48066084568404616), np.float64(0.525698876046832), np.float64(0.453971117993326)]",308
CD38,survival_status,Mann-Whitney U,8973.0,0.03169932188229571,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.24331375332853025), np.float64(0.24864293131722467)]",308
CD117,larynxpharynx,Mann-Whitney U,8529.0,0.03368998166587112,2,"['Larynx', 'Pharynx']","[np.float64(0.2501085496176383), np.float64(0.2566939833805214)]",308
CollagenIV,survival_status,Mann-Whitney U,12104.0,0.03602482988685418,2,"[np.float64(1.0), np.float64(0.0)]","[np.float64(0.2761211939471354), np.float64(0.2636092176808565)]",308
CollagenIV,larynxpharynx,Mann-Whitney U,8567.0,0.03836216013604082,2,"['Larynx', 'Pharynx']","[np.float64(0.2626652867807723), np.float64(0.27192731328171904)]",308
CD45RA,smokinghx,Kruskal-Wallis,6.449364733012885,0.03976841134972582,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(0.33591575290356634), np.float64(0.36423739812064343), np.float64(0.42277375615151325)]",308
CD31,alcoholhx,Kruskal-Wallis,9.998344927500511,0.0404555707018864,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.36054618156224577), np.float64(0.39643365353298876), np.float64(0.3512757494815598), np.float64(0.33679391750084714), np.float64(0.4105815204116356)]",308
CD21,alcoholhx,Kruskal-Wallis,9.961601857640972,0.0410794848058364,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.33640643748777543), np.float64(0.33433166592305263), np.float64(0.3351483765181533), np.float64(0.33162367463151665), np.float64(0.39415768518686867)]",308
CD14,alcoholhx,Kruskal-Wallis,9.875352597393658,0.04258051871919259,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.44008311567560665), np.float64(0.5063688511921818), np.float64(0.42096960083992285), np.float64(0.42385845099732045), np.float64(0.519856168822314)]",308
CD15,alcoholhx,Kruskal-Wallis,9.7598274342688,0.044673641393525115,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.46489667598882256), np.float64(0.561051074847164), np.float64(0.5437507918961983), np.float64(0.42290547173709914), np.float64(0.5287491074168018)]",308
CD117,alcoholhx,Kruskal-Wallis,9.565054802675718,0.048427543450926036,5,"[np.float64(5.0), np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0)]","[np.float64(0.25496538314941614), np.float64(0.25621031796213123), np.float64(0.24742408969837415), np.float64(0.2583880704332314), np.float64(0.26160231279355334)]",308
Vimentin,smokinghx,Kruskal-Wallis,6.030668305964241,0.049029449412708426,3,"[np.float64(2.0), np.float64(1.0), np.float64(0.0)]","[np.float64(1.0391003057157635), np.float64(0.9056372500053546), np.float64(0.874920464825788)]",308
